Age*Class,AgeFill,FamilySize,Parch,Port,SibSp,Survived
108.0,54.0,4,0,2,1,1
54.0,18.0,0,1,2,0,0
75.0,25.0,0,1,1,0,0
15.0,5.0,0,0,2,0,1
75.0,25.0,0,1,1,0,0
43.0,43.0,1,0,2,0,1
39.0,13.0,0,0,0,0,1
17.0,17.0,1,0,2,1,1
29.0,29.0,0,1,2,0,0
75.0,25.0,3,1,2,1,0
75.0,25.0,0,1,2,0,0
75.0,25.0,0,1,2,0,0
54.0,18.0,0,0,2,0,1
24.0,8.0,5,1,1,4,0
3.0,1.0,3,1,2,1,1
46.0,46.0,0,1,0,0,0
75.0,25.0,0,1,1,0,0
32.0,16.0,0,1,2,0,0
64.5,21.5,10,0,2,8,0
40.0,40.0,0,1,0,0,0
75.0,25.0,0,1,2,0,0
78.0,39.0,0,1,2,0,0
49.0,49.0,0,0,2,0,1
93.0,31.0,0,0,2,0,1
90.0,30.0,0,1,0,0,0
90.0,30.0,2,0,2,1,0
68.0,34.0,0,1,2,0,0
62.0,31.0,2,0,2,1,1
11.0,11.0,3,1,2,1,1
1.26,0.42,1,1,0,0,1
81.0,27.0,0,1,2,0,1
93.0,31.0,0,1,2,0,0
39.0,39.0,0,1,2,0,0
54.0,18.0,0,0,2,0,0
78.0,39.0,0,1,2,0,0
33.0,33.0,1,0,2,1,1
78.0,26.0,0,1,2,0,0
117.0,39.0,0,1,2,0,0
70.0,35.0,0,1,2,0,0
18.0,6.0,6,0,2,4,0
91.5,30.5,0,1,2,0,0
40.0,40.0,0,1,2,0,0
69.0,23.0,0,0,2,0,0
62.0,31.0,2,1,0,1,0
129.0,43.0,0,1,2,0,0
30.0,10.0,5,1,2,3,0
52.0,52.0,2,0,2,1,1
81.0,27.0,0,1,2,0,1
38.0,38.0,0,1,2,0,0
81.0,27.0,1,0,2,0,1
6.0,2.0,5,1,2,4,0
75.0,25.0,0,1,1,0,0
75.0,25.0,0,1,2,0,0
2.0,1.0,2,1,0,0,1
75.0,25.0,0,1,1,0,1
62.0,62.0,0,0,2,0,1
45.0,15.0,1,0,0,1,1
1.66,0.83,2,1,2,1,1
75.0,25.0,0,1,0,0,0
69.0,23.0,0,1,2,0,0
54.0,18.0,0,1,2,0,0
39.0,39.0,2,0,0,1,1
63.0,21.0,0,1,2,0,0
75.0,25.0,0,1,2,0,0
96.0,32.0,0,1,2,0,1
40.0,40.0,0,1,0,0,1
60.0,20.0,0,1,2,0,0
32.0,16.0,0,1,2,0,0
30.0,30.0,0,0,0,0,1
103.5,34.5,0,1,0,0,0
51.0,17.0,0,1,2,0,0
126.0,42.0,0,1,2,0,0
75.0,25.0,10,1,2,8,0
105.0,35.0,0,1,0,0,0
56.0,28.0,1,1,2,0,0
35.0,35.0,1,0,0,1,1
12.0,4.0,6,1,2,4,0
222.0,74.0,0,1,2,0,0
27.0,9.0,2,0,0,1,0
16.0,16.0,1,0,2,0,1
88.0,44.0,1,0,2,1,0
54.0,18.0,1,0,2,0,1
45.0,45.0,2,0,2,1,1
51.0,51.0,0,1,2,0,1
72.0,24.0,3,0,0,0,1
75.0,25.0,0,1,0,0,0
123.0,41.0,2,1,2,2,0
42.0,21.0,1,1,2,1,0
48.0,48.0,0,0,2,0,1
64.5,21.5,10,0,2,8,0
48.0,24.0,0,1,2,0,0
84.0,42.0,0,0,2,0,1
54.0,27.0,1,0,0,1,1
31.0,31.0,0,1,2,0,0
75.0,25.0,0,1,2,0,0
12.0,4.0,2,1,2,1,1
78.0,26.0,0,1,2,0,0
47.0,47.0,2,0,2,1,1
33.0,33.0,0,1,2,0,0
141.0,47.0,0,1,2,0,0
56.0,28.0,1,0,0,1,1
45.0,15.0,0,0,0,0,1
60.0,20.0,0,1,2,0,0
57.0,19.0,0,1,2,0,0
75.0,25.0,0,1,2,0,0
56.0,56.0,1,0,0,0,1
50.0,25.0,1,0,2,0,1
99.0,33.0,0,1,2,0,0
66.0,22.0,0,0,2,0,0
56.0,28.0,0,1,2,0,0
75.0,25.0,0,1,2,0,0
117.0,39.0,5,0,1,0,0
54.0,27.0,0,1,2,0,0
19.0,19.0,0,0,2,0,1
64.5,21.5,3,0,2,1,0
26.0,26.0,0,1,0,0,1
96.0,32.0,0,1,1,0,0
